SAMEA7546473	ERR4812968
SAMN13813841	SRR10869293
SAMN35561015	SRR24799207
SAMN30962275	SRR21675637
SAMEA7546479	ERR4812974
SAMN05916286	SRR28394228
SAMEA112181440	ERR10610285
SAMN21881829	SRR16099298
SAMEA112181463	ERR10610315
SAMEA112181434	ERR10610222
